X,Y,KnKod,KnNamn
535581.225399562,6867310.4438197,2161,Ljusdal
613187.976217871,6728394.27480448,2180,Gävle
597257.458479227,6706723.1858912,2181,Sandviken
605297.450499407,6795168.61807922,2182,Söderhamn
577360.056499452,6800115.77110012,2183,Bollnäs
597160.010448513,6857937.82159049,2184,Hudiksvall
532419.399620254,6929358.99901581,2260,Ånge
617214.882143674,6949629.66798013,2262,Timrå
640880.721073627,6955680.3513799,2280,Härnösand
596013.152089957,6937857.9790725,2281,Sundsvall
645790.7738399,6987372.9754382,2282,Kramfors
587907.824917194,7036480.92465674,2283,Sollefteå
662085.472154147,7048553.67228466,2284,Örnsköldsvik
549423.614844746,7004401.27437682,2303,Ragunda
531745.203518902,6970906.84707119,2305,Bräcke
459672.606791679,7077764.71646029,2309,Krokom
529312.537453084,7119808.29361278,2313,Strömsund
392295.510339247,7046005.52595229,2321,Åre
467928.709014105,6950181.83558693,2326,Berg
455863.138057339,6894545.57018802,2361,Härjedalen
499599.070639492,7014221.50549708,2380,Östersund
717835.220580545,7068537.68959534,2401,Nordmaling
693727.353612512,7100174.30505346,2403,Bjurholm
718897.022985297,7148925.25193977,2404,Vindeln
776820.651284919,7131166.42169778,2409,Robertsfors
712433.813959809,7207582.07751238,2417,Norsjö
673493.025069206,7240360.25560915,2418,Malå
538806.625165066,7258142.94599281,2421,Storuman
576263.984657395,7293032.09440867,2422,Sorsele
553738.513286036,7149699.41936054,2425,Dorotea
729834.88917331,7099795.31719525,2460,Vännäs
548047.390762157,7201188.31394366,2462,Vilhelmina
628708.90188725,7120223.84902742,2463,Åsele
759074.574500602,7102502.88607805,2480,Umeå
660222.990070962,7168198.11900289,2481,Lycksele
765682.160994009,7201413.99300813,2482,Skellefteå
698896.731817429,7288772.60141626,2505,Arvidsjaur
556591.281265783,7364762.05898165,2506,Arjeplog
663083.003222475,7425442.86757877,2510,Jokkmokk
837427.439838801,7399117.25608074,2513,Överkalix
860009.614441324,7343423.73233678,2514,Kalix
873126.132783839,7402783.2098862,2518,Övertorneå
838588.202210656,7499310.78197873,2521,Pajala
743211.801256044,7461261.19686075,2523,Gällivare
760213.187327187,7304586.44755424,2560,Älvsbyn
827763.066416134,7321469.10613711,2580,Luleå
758695.027336924,7266333.75377843,2581,Piteå
779912.628108674,7340371.31864646,2582,Boden
894044.856759331,7347797.23712212,2583,Haparanda
734308.931455622,7573241.14866677,2584,Kiruna
